Date,Open,High,Low,Close,Adj Close,Volume
2022-09-12,432.000000,432.899994,428.649994,431.149994,428.353027,5530132
2022-09-13,432.250000,439.299988,432.250000,436.649994,433.817352,7628228
2022-09-14,426.000000,447.899994,424.100006,442.000000,439.132660,12387075
2022-09-15,439.500000,439.500000,423.750000,424.399994,421.646820,13039806
2022-09-16,424.000000,424.299988,405.799988,412.500000,409.824036,14826674
2022-09-19,414.600006,416.250000,405.649994,412.149994,409.476288,6080201
2022-09-20,416.000000,427.500000,415.799988,421.450012,418.715973,8758050
2022-09-21,417.899994,423.899994,410.799988,411.350006,408.681488,6859320
2022-09-22,409.000000,415.000000,403.500000,412.100006,409.426636,8704463
2022-09-23,410.700012,412.700012,394.450012,396.350006,393.778809,9228856
2022-09-26,390.000000,390.000000,369.600006,373.399994,370.977692,13092570
2022-09-27,375.299988,379.950012,365.100006,373.600006,371.176392,14934966
2022-09-28,368.000000,372.100006,358.799988,360.750000,358.409760,10751444
2022-09-29,366.750000,376.899994,366.000000,371.200012,368.791962,14020084
2022-09-30,376.000000,395.350006,375.149994,390.549988,388.016418,17706821
2022-10-03,389.000000,389.450012,379.100006,380.950012,378.478729,8504297
2022-10-04,396.000000,400.899994,390.299988,394.049988,391.493713,9017446
2022-10-06,402.000000,413.950012,399.399994,412.649994,409.973053,11758976
2022-10-07,409.950012,411.950012,405.799988,411.100006,408.433136,5241693
2022-10-10,403.500000,409.149994,400.000000,407.500000,404.856476,6519737
2022-10-11,403.000000,412.450012,393.899994,396.049988,393.480743,7054654
2022-10-12,398.049988,401.399994,391.750000,400.200012,397.603851,6584436
2022-10-13,411.000000,416.500000,400.000000,401.549988,398.945068,16565725
2022-10-14,411.250000,411.250000,396.399994,397.149994,394.573608,6115990
2022-10-17,395.049988,395.899994,386.299988,388.299988,385.781006,8966396
2022-10-18,391.500000,398.399994,391.350006,393.450012,390.897614,7081590
2022-10-19,394.000000,398.100006,389.500000,390.299988,387.768036,6208852
2022-10-20,383.000000,396.700012,380.100006,395.200012,392.636261,8222063
2022-10-21,397.200012,398.049988,386.250000,393.750000,391.195679,7988528
2022-10-24,395.000000,398.850006,394.350006,395.549988,392.983978,793366
2022-10-25,394.399994,402.799988,391.500000,398.399994,395.815491,6156624
2022-10-27,408.000000,413.399994,405.350006,412.399994,409.724670,9752346
2022-10-28,412.500000,412.500000,399.750000,404.950012,402.323029,6569623
2022-10-31,405.000000,408.750000,403.000000,405.649994,403.018463,4257977
2022-11-01,406.000000,415.000000,406.000000,414.399994,411.711700,7483252
2022-11-02,414.750000,426.850006,414.000000,421.299988,418.566925,11554760
2022-11-03,415.000000,415.899994,408.950012,410.350006,407.687988,7304472
2022-11-04,412.450012,432.000000,412.000000,430.549988,427.756927,13317485
2022-11-07,432.000000,438.899994,426.299988,437.500000,434.661865,9887999
2022-11-09,430.100006,433.000000,415.600006,417.100006,414.394196,13898567
2022-11-10,415.299988,420.399994,412.750000,415.100006,412.407166,5574432
2022-11-11,420.350006,431.799988,420.299988,429.850006,427.061493,14060782
2022-11-14,435.000000,458.649994,434.049988,455.549988,452.594757,30135088
2022-11-15,456.000000,460.549988,449.549988,456.899994,453.936005,11841577
2022-11-16,455.549988,455.549988,444.149994,447.399994,444.497620,7137989
2022-11-17,443.450012,444.399994,436.500000,440.450012,437.592743,6533823
2022-11-18,440.500000,443.899994,434.450012,438.600006,435.754730,6128677
2022-11-21,439.799988,444.450012,428.399994,430.549988,427.756927,6372470
2022-11-22,432.750000,436.350006,429.000000,430.649994,427.856293,6108017
2022-11-23,434.500000,439.299988,431.549988,433.350006,430.538788,6031033
2022-11-24,435.549988,439.600006,432.649994,438.350006,435.506348,4733568
2022-11-25,438.000000,441.799988,434.350006,440.649994,437.791412,4800030
2022-11-28,435.000000,436.500000,429.000000,431.149994,428.353027,5613201
2022-11-29,433.000000,440.899994,432.250000,435.950012,433.121918,6518828
2022-11-30,438.750000,451.950012,438.149994,450.700012,447.776245,13921394
2022-12-01,455.000000,466.500000,454.049988,463.399994,460.393829,13243436
